P1,P2,P3,P4,P5,P6
1015,1030,1330,1513,314,431
1213,1034,1335,4419,330,5718
1215,1035,1345,5015,348,415 M
12L13,1037,1513,6150,403,440 A
12L14,1039,4142,A 570 Gr. 40,405,440 C
A 570 Gr 33,1040,4147,A 570 Gr. 70,409,440B
A 570 Gr 36,1045,4419,A-6,410,CF-8
B1112,1046,4520,A663 Gr. C,414,
,1055,5015,P6,420,
,1059,5046,T8,422,
,1060,5115,,430,
,1069,5117,,430,
,1070,5130,,434,
,1070,5140,,439,
,1074,9255,,446,
,1075,9260,,661,
,1078,9262,,310 S,
,1080,15B21H,,410 s,
,1084,50B40,,430 F,
,1090,5130H,,430 Nb,
,1095,W108,,904 L,
,1095,W110,,,
,1110,W112,,,
,1140,W210,,,
,1141,,,,
,1146,,,,
,1151,,,,
,1536,,,,
,1551,,,,
,1566,,,,
,1038H,,,,
,11L08,,,,
